StateName,Parliament Constituency,Winning Candidate,Total Votes,Margin,Party name
Kerala,Kannur(2),K. SUDHAKARAN,518524,108982,Indian National Congress - INC
Kerala,Vadakara(3),SHAFI PARAMBIL,557528,114506,Indian National Congress - INC
Kerala,Wayanad(4),RAHUL GANDHI,647445,364422,Indian National Congress - INC
Kerala,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Indian National Congress - INC
Kerala,Palakkad(8),V K SREEKANDAN,421169,75283,Indian National Congress - INC
Kerala,Chalakudy(11),BENNY BEHANAN,394171,63754,Indian National Congress - INC
Kerala,Ernakulam(12),HIBI EDEN,482317,250385,Indian National Congress - INC
Kerala,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Indian National Congress - INC
Kerala,Alappuzha(15),K. C VENUGOPAL,404560,63513,Indian National Congress - INC
Kerala,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Indian National Congress - INC
Kerala,Pathanamthitta(17),ANTO ANTONY,367623,66119,Indian National Congress - INC
Kerala,Attingal(19),ADV ADOOR PRAKASH,328051,684,Indian National Congress - INC
Kerala,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Indian National Congress - INC
Kerala,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Indian Union Muslim League - IUML
Kerala,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Indian Union Muslim League - IUML
Kerala,Alathur (9),K.RADHAKRISHNAN,403447,20111,Communist Party of India  (Marxist) - CPI(M)
Kerala,Thrissur(10),SURESH GOPI,412338,74686,Bharatiya Janata Party - BJP
Kerala,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala Congress - KEC
Kerala,Kollam(18),N K PREMACHANDRAN,443628,150302,Revolutionary Socialist Party - RSP
Ladakh,Ladakh(1),MOHMAD HANEEFA,65259,27862,Independent - IND
Lakshadweep,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647,Indian National Congress - INC
Madhya Pradesh,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530,Bharatiya Janata Party - BJP
Madhya Pradesh,BHIND(2),SANDHYA RAY,537065,64840,Bharatiya Janata Party - BJP
Madhya Pradesh,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210,Bharatiya Janata Party - BJP
Madhya Pradesh,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929,Bharatiya Janata Party - BJP
Madhya Pradesh,SAGAR(5),DR. LATA WANKHEDE,787979,471222,Bharatiya Janata Party - BJP
Madhya Pradesh,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312,Bharatiya Janata Party - BJP
Madhya Pradesh,DAMOH(7),RAHUL SINGH LODHI,709768,406426,Bharatiya Janata Party - BJP
Madhya Pradesh,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229,Bharatiya Janata Party - BJP
Madhya Pradesh,SATNA(9),GANESH SINGH,459728,84949,Bharatiya Janata Party - BJP
Madhya Pradesh,REWA(10),JANARDAN MISHRA,477459,193374,Bharatiya Janata Party - BJP
Madhya Pradesh,SIDHI(11),DR. RAJESH MISHRA,583559,206416,Bharatiya Janata Party - BJP
Madhya Pradesh,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340,Bharatiya Janata Party - BJP
Madhya Pradesh,JABALPUR(13),ASHISH DUBEY,790133,486674,Bharatiya Janata Party - BJP
Madhya Pradesh,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846,Bharatiya Janata Party - BJP
